Trial Number,Observation Time,Signal Power,Observed Frequency (MHz),Galactic Longitude (L),Galactic Latitude (B),Right Ascension (RA),Declination (DEC),Radial Velocity Vr (km/s),Tangent Point Distance R (kpc),Rotation Velocity V_rot (km/s)
1,2025-12-31 09:34:07,13.039838103219196,1420.5553572992128,24.49232009425302,45.89887253234748,237.972288566493,13.682727429930528,-31.58,3.52,59.63
2,2025-12-31 09:34:21,12.2418055735112,1420.5553572992128,24.524509294914818,45.85059440723884,238.0270693201814,13.682609589142682,-31.58,3.53,59.74
3,2025-12-31 09:34:35,11.943986004001204,1420.5396092677167,24.559861381337356,45.797498189070055,238.08731186291968,13.68247991548617,-28.25,3.53,63.19
4,2025-12-31 09:34:48,10.752225335283924,1420.5396092677167,24.59162263224074,45.749728789796166,238.1415059587199,13.682363186361915,-28.25,3.54,63.3
5,2025-12-31 09:34:59,10.37247669864253,1420.5396092677167,24.621405037416817,45.704878551148546,238.19238427013494,13.682253534659528,-28.25,3.54,63.4
6,2025-12-31 09:35:11,11.990188741323465,1420.5553572992128,24.648104518945985,45.66462404174027,238.23804587120037,13.682155072792613,-31.58,3.54,60.17
7,2025-12-31 09:35:23,11.214761733956493,1420.5553572992128,24.67813619038709,45.619292596255846,238.2894626424942,13.682044140794247,-31.58,3.55,60.28
8,2025-12-31 09:35:35,11.299980459107616,1420.5553572992128,24.70723263655973,45.575319282032765,238.33933522526976,13.681936479713839,-31.58,3.55,60.38
9,2025-12-31 09:35:47,11.162290811464558,1420.5553572992128,24.737666682332584,45.52926807019734,238.3915605378253,13.681823675783782,-31.58,3.56,60.49
10,2025-12-31 09:35:59,12.721951776827908,1420.5553572992128,24.76529610343558,45.48741074022024,238.43902622254728,13.681721095718197,-31.58,3.56,60.58
11,2025-12-31 09:36:11,11.586623532922161,1420.5553572992128,24.796714614551036,45.43975537188369,238.49306280589767,13.681604249402149,-31.58,3.56,60.69
12,2025-12-31 09:36:24,11.981297255878573,1420.5553572992128,24.82548561719431,45.396061833511695,238.54260332889456,13.681497063874192,-31.58,3.57,60.79
13,2025-12-31 09:36:37,11.731255493908833,1420.5553572992128,24.856470360262975,45.348948746840094,238.59601702197216,13.681381432788909,-31.58,3.57,60.9
14,2025-12-31 09:36:49,11.905742053568716,1420.5553572992128,24.88860253502522,45.30002785472169,238.65147594165032,13.68126130223873,-31.58,3.58,61.01
15,2025-12-31 09:37:02,11.292143920212752,1420.5396092677167,24.91635839423161,45.25771813724994,238.6994365866101,13.68115735484281,-28.25,3.58,64.43
16,2025-12-31 09:37:15,11.911321771391755,1420.5396092677167,24.949457826764657,45.207200263017874,238.75669738703866,13.68103317922427,-28.25,3.59,64.55
17,2025-12-31 09:37:29,11.743466501270234,1420.5553572992128,24.981685603445975,45.157947256130164,238.81252001791964,13.68091204756174,-31.58,3.59,61.34
18,2025-12-31 09:37:41,11.301349390131818,1420.5396092677167,25.012783988500725,45.11035901750089,238.86645165320851,13.680794949161832,-28.25,3.59,64.77
19,2025-12-31 09:37:54,11.163538986972355,1420.5396092677167,25.04368135585028,45.06301881080701,238.92009814806894,13.680678401645059,-28.25,3.6,64.88
20,2025-12-31 09:38:08,11.955446046832847,1420.5553572992128,25.07519380498645,45.01467503112647,238.97487776094354,13.680559322310245,-31.58,3.6,61.66
21,2025-12-31 09:38:21,11.16545796868975,1420.5396092677167,25.10710844641253,44.965651300087934,239.03042359233675,13.68043850515429,-28.25,3.61,65.1
22,2025-12-31 09:38:34,12.057473102613287,1420.5396092677167,25.137794810195295,44.9184545903678,239.08389531220024,13.680322130779443,-28.25,3.61,65.2
23,2025-12-31 09:38:46,11.865439992210824,1420.5553572992128,25.16908004123906,44.87027653467615,239.13847480263786,13.68020327619218,-31.58,3.61,61.99
24,2025-12-31 09:38:59,11.372829604826151,1420.5553572992128,25.197793331752887,44.826005625340386,239.1886244144884,13.680094006676379,-31.58,3.62,62.09
25,2025-12-31 09:39:12,11.726363638362045,1420.5396092677167,25.230809998089256,44.77503632293797,239.2463576609424,13.679968140441835,-28.25,3.62,65.53
26,2025-12-31 09:39:24,11.87678807023768,1420.5553572992128,25.259015687129548,44.731440288913326,239.29573558370697,13.679860428072804,-31.58,3.63,62.3
27,2025-12-31 09:39:37,10.791114259999432,1420.5553572992128,25.290910105879693,44.68208323550661,239.35163461751284,13.679738421908269,-31.58,3.63,62.41
28,2025-12-31 09:39:50,10.64690326389018,1420.5396092677167,25.320691213370335,44.63593951283737,239.40389063011523,13.679624301156485,-28.25,3.64,65.84
29,2025-12-31 09:40:03,12.008855156474212,1420.5396092677167,25.350103478772265,44.59031322169013,239.4555570958829,13.67951140538557,-28.25,3.64,65.94
30,2025-12-31 09:40:16,11.445951132023012,1420.5396092677167,25.382001733113476,44.54076977898665,239.51165527524498,13.67938875564843,-28.25,3.64,66.05
31,2025-12-31 09:40:29,11.412855102490752,1420.5396092677167,25.411550789562572,44.49481868240227,239.5636821236867,13.679274941928233,-28.25,3.65,66.15
32,2025-12-31 09:40:41,11.9194854291964,1420.5396092677167,25.444728591178347,44.44316001868333,239.62216696937477,13.679146925813505,-28.25,3.65,66.27
33,2025-12-31 09:40:54,11.226506268170311,1420.5396092677167,25.471179928737914,44.40192569024471,239.66884680543941,13.679044692600788,-28.25,3.66,66.36
34,2025-12-31 09:41:07,12.1273920028178,1420.5553572992128,25.503530993105926,44.35143541726253,239.72600109917013,13.678919450776444,-31.58,3.66,63.15
35,2025-12-31 09:41:19,11.846480923009992,1420.5396092677167,25.53192968600573,44.30706010443297,239.77622986072342,13.678809322597749,-28.25,3.66,66.57
36,2025-12-31 09:41:32,11.686571036654627,1420.5553572992128,25.56386297763438,44.25710195591587,239.83277400120355,13.678685278204329,-31.58,3.67,63.36
37,2025-12-31 09:41:46,12.951573261815014,1420.5553572992128,25.593718893516673,44.21033658459437,239.88570075954556,13.678569102851016,-31.58,3.67,63.46
38,2025-12-31 09:41:58,12.451472761958215,1420.5553572992128,25.622585005841167,44.16506908404571,239.93692891110072,13.678456594705798,-31.58,3.68,63.56
39,2025-12-31 09:42:11,11.944599033205535,1420.5553572992128,25.654250584389924,44.115352113177,239.9931886002725,13.678332966878699,-31.58,3.68,63.67
40,2025-12-31 09:42:24,11.564479057344201,1420.5553572992128,25.68269429653765,44.0706407259083,240.04378057572865,13.678221731682719,-31.58,3.68,63.77
41,2025-12-31 09:42:36,12.31264494911197,1420.5553572992128,25.71506685294751,44.0196925333011,240.1014257398619,13.678094917522344,-31.58,3.69,63.88
42,2025-12-31 09:42:50,11.387475410137966,1420.5553572992128,25.744223883913143,43.973749431965565,240.15340436551529,13.677980504212465,-31.58,3.69,63.98
43,2025-12-31 09:43:02,11.69341768725836,1420.5553572992128,25.774066496741803,43.926671569987384,240.20666335700102,13.677863208754621,-31.58,3.7,64.09
44,2025-12-31 09:43:15,10.9394327469426,1420.5553572992128,25.80435132422595,43.878839770292366,240.26077169961337,13.677743976635249,-31.58,3.7,64.19
45,2025-12-31 09:43:29,10.311683410336684,1420.5553572992128,25.83519687662645,43.83006405474493,240.31594412891607,13.677622331238808,-31.58,3.7,64.3
46,2025-12-31 09:43:41,11.197685174782421,1420.5396092677167,25.866272931522833,43.78086436449044,240.3715923807389,13.677499566812473,-28.25,3.71,67.73
47,2025-12-31 09:43:54,12.133355930559844,1420.5396092677167,25.89485387810856,43.7355622472012,240.4228288918374,13.677386473037386,-28.25,3.71,67.83
48,2025-12-31 09:44:07,11.222468760161306,1420.5553572992128,25.92537985413813,43.68712143243984,240.47761175894667,13.677265485784954,-31.58,3.72,64.61
49,2025-12-31 09:44:20,10.594140844070083,1420.5553572992128,25.955984005552985,43.63849879236896,240.53259664095376,13.677143984276977,-31.58,3.72,64.71
50,2025-12-31 09:44:33,12.009712062329854,1420.5553572992128,25.985237682959117,43.59196767841693,240.58521294872114,13.677027652883462,-31.58,3.72,64.81
51,2025-12-31 09:44:45,11.199967744027603,1420.5553572992128,26.017106566040425,43.54121669338177,240.64259724891923,13.676900708754868,-31.58,3.73,64.92
52,2025-12-31 09:44:59,12.697158839469793,1420.5396092677167,26.044745723423276,43.49715078632973,240.69241956227054,13.676790433084607,-28.25,3.73,68.34
53,2025-12-31 09:45:11,11.5796884800327,1420.5396092677167,26.075401770767723,43.4482198633146,240.74773900788898,13.67666792496532,-28.25,3.74,68.45
54,2025-12-31 09:45:24,11.547242725938275,1420.5396092677167,26.104579099655886,43.401595355675255,240.80044758799738,13.676551135021084,-28.25,3.74,68.55
55,2025-12-31 09:45:38,13.650554370439323,1420.5553572992128,26.1358782286764,43.3515219593271,240.8570515178024,13.676425644740819,-31.58,3.74,65.33
56,2025-12-31 09:45:51,11.670134624356919,1420.5553572992128,26.168885232757646,43.2986508844676,240.9168139880902,13.676293074426411,-31.58,3.75,65.45
57,2025-12-31 09:46:03,11.985053025230698,1420.5553572992128,26.195998730691343,43.25516993378311,240.9659593252878,13.676183996348273,-31.58,3.75,65.54
58,2025-12-31 09:46:14,11.441621232445982,1420.5553572992128,26.22256237335736,43.21252689555883,241.01415491775705,13.676076974059937,-31.58,3.76,65.63
